ecp	concord	id
0.750	0.308	0.00000000
0.750	0.346	0.00000000
0.750	0.385	0.00000000
0.750	0.423	0.00000000
0.750	0.462	0.00000000
0.750	0.500	0.00000000
0.750	0.538	0.00000000
0.750	0.577	0.00000000
0.750	0.615	0.00000000
0.750	0.654	0.00000000
0.750	0.692	0.00000010
0.750	0.731	0.00000317
0.750	0.769	0.00010458
0.750	0.808	0.00343947
0.750	0.846	0.10224868
0.750	0.885	0.78985014
0.750	0.923	0.99200197
0.750	0.962	0.99975574
0.750	1.000	0.99999260
0.800	0.000	0.00000000
0.800	0.038	0.00000000
0.800	0.077	0.00000000
0.800	0.115	0.00000000
0.800	0.154	0.00000000
0.800	0.192	0.00000000
0.800	0.231	0.00000000
0.800	0.269	0.00000000
0.800	0.308	0.00000000
0.800	0.346	0.00000000
0.800	0.385	0.00000000
0.800	0.423	0.00000000
0.800	0.462	0.00000000
0.800	0.500	0.00000000
0.800	0.538	0.00000000
0.800	0.577	0.00000000
0.800	0.615	0.00000000
0.800	0.654	0.00000001
0.800	0.692	0.00000018
0.800	0.731	0.00000443
0.800	0.769	0.00010973
0.800	0.808	0.00270867
0.800	0.846	0.06298761
0.800	0.885	0.62458773
0.800	0.923	0.97629069
0.800	0.962	0.99901975
0.800	1.000	0.99996036
0.850	0.000	0.00000000
0.850	0.038	0.00000000
0.850	0.077	0.00000000
0.850	0.115	0.00000000
0.850	0.154	0.00000000
0.850	0.192	0.00000000
0.850	0.231	0.00000000
0.850	0.269	0.00000000
0.850	0.308	0.00000000
0.850	0.346	0.00000000
0.850	0.385	0.00000000
0.850	0.423	0.00000000
0.850	0.462	0.00000000
0.850	0.500	0.00000000
0.850	0.538	0.00000000
0.850	0.577	0.00000000
0.850	0.615	0.00000000
0.850	0.654	0.00000003
0.850	0.692	0.00000060
0.850	0.731	0.00001050
0.850	0.769	0.00018337
0.850	0.808	0.00319397
0.850	0.846	0.05301181
0.850	0.885	0.49443695
0.850	0.923	0.94470894
0.850	0.962	0.99666115
0.850	1.000	0.99980828
0.900	0.000	0.00000000
0.900	0.038	0.00000000
0.900	0.077	0.00000000
0.900	0.115	0.00000000
0.900	0.154	0.00000000
0.900	0.192	0.00000000
0.900	0.231	0.00000000
0.900	0.269	0.00000000
0.900	0.308	0.00000000
0.900	0.346	0.00000000
0.900	0.385	0.00000000
0.900	0.423	0.00000000
0.900	0.462	0.00000000
0.900	0.500	0.00000000
0.900	0.538	0.00000000
0.900	0.577	0.00000000
0.900	0.615	0.00000005
0.900	0.654	0.00000050
0.900	0.692	0.00000550
0.900	0.731	0.00006054
0.900	0.769	0.00066558
0.900	0.808	0.00727296
0.900	0.846	0.07457853
0.900	0.885	0.46991108
0.900	0.923	0.90698743
0.900	0.962	0.99076328
0.900	1.000	0.99915319
0.950	0.000	0.00000000
0.950	0.038	0.00000000
0.950	0.077	0.00000000
0.950	0.115	0.00000000
0.950	0.154	0.00000000
0.950	0.192	0.00000000
0.950	0.231	0.00000000
0.950	0.269	0.00000000
0.950	0.308	0.00000000
0.950	0.346	0.00000000
0.950	0.385	0.00000000
0.950	0.423	0.00000001
0.950	0.462	0.00000003
0.950	0.500	0.00000014
0.950	0.538	0.00000072
0.950	0.577	0.00000376
0.950	0.615	0.00001961
0.950	0.654	0.00010218
0.950	0.692	0.00053217
0.950	0.731	0.00276670
0.950	0.769	0.01424996
0.950	0.808	0.07004700
0.950	0.846	0.28185339
0.950	0.885	0.67159197
0.950	0.923	0.91420350
0.950	0.962	0.98230737
0.950	1.000	0.99655519
